year;MLABIL01_;MLABIL02_;MLABIL04_;MLABIL06_;MLABIL07_;MLABIL10_;MLABIL11_;MLABIL13_;MLABIL14_;MLABIL16_;aver
2010;763.8670044;758.9396973;916.6703491;530.5686035;688.1702271;242.4389648;350.050354;806.5158691;760.8527832;789.2636719;660.7337524
2011;770.3087158;816.4041138;906.1691284;565.4061279;600.0109863;227.6558075;424.9373779;967.5996094;637.8094482;808.7615356;672.5062851
2012;739.2778931;803.6121826;914.8696899;563.2147827;718.175293;283.1847229;564.2095947;867.5558472;798.3960571;784.4544067;703.695047
2013;796.2355347;650.4556885;773.6838379;471.853241;658.0278931;227.3946991;619.3762817;684.1968994;507.7531433;434.4935303;582.3470749
2014;584.4987183;546.0085449;745.9075317;417.3694153;639.8050537;237.3644104;331.5529175;243.539917;828.5565796;562.230896;513.6833984
2015;602.947998;615.0733032;870.1949463;506.1074524;724.9639893;258.0190735;429.2054749;741.6156006;865.0683594;748.4733276;636.1669525
2016;708.8687134;732.4866333;989.1698608;503.4892578;669.7055054;229.6673126;415.2130127;691.3935547;692.8151245;702.8798218;633.5688797
2017;714.8696899;633.3001099;864.7788086;457.7651672;572.8904419;292.6956177;462.9788513;989.2495728;695.0991211;630.3650513;631.3992432
2018;653.5397339;665.793457;821.5250244;447.7257996;535.9684448;294.924469;417.6554871;844.1776733;742.249939;775.0744629;619.8634491
2019;626.5802612;640.5072632;809.4671631;425.4085693;436.2145996;271.3073425;387.7629089;758.289856;674.0925903;705.7670288;573.5397583
2020;702.8996582;770.0602417;947.7014771;509.1361389;555.7734985;326.8625488;565.6437378;796.5914917;724.9525146;655.5465698;655.5167877
2021;816.6757202;717.3831177;854.4508057;498.1484985;528.5177002;339.1758423;484.026123;875.5444336;668.604248;619.2180176;640.1744507
2022;653.6166992;574.4746094;871.0515137;496.5239258;575.5482178;370.2526855;448.6852112;690.3909302;764.9506836;517.0934448;596.2587921
2023;758.1222534;656.5648193;790.239624;576.0176392;636.4877319;320.8883667;457.9906006;591.5703735;861.6356201;;627.7241143
