year,CWTleBIL01_,CWTleBIL02_,CWTleBIL04_,CWTleBIL06_,CWTleBIL07_,CWTleBIL10_,CWTleBIL11_,CWTleBIL13_,CWTleBIL14_,CWTleBIL16_
1970,3.9242355823516846,4.893474578857422,3.8223984241485596,4.579461097717285,3.92059326171875,3.659384250640869,4.492183685302734,5.679912090301514,5.427254676818848,3.9114763736724854
1971,4.006148815155029,6.43684196472168,4.235982418060303,4.907025337219238,4.203857898712158,4.224264621734619,5.172552108764648,5.221094608306885,4.5913286209106445,4.647684097290039
1972,4.32553768157959,5.207019805908203,4.446606636047363,5.46750020980835,4.1122727394104,4.569728851318359,5.862867832183838,5.5784220695495605,5.146778583526611,4.1559014320373535
1973,4.043900012969971,5.036308288574219,4.813231945037842,5.690805435180664,4.3635687828063965,4.634215354919434,4.996263027191162,5.905551910400391,4.726292133331299,4.230595588684082
1974,4.024392604827881,4.279594421386719,4.840621471405029,5.435378074645996,4.788626670837402,4.552875995635986,5.1338372230529785,5.812978744506836,4.309527397155762,3.967872381210327
1975,3.6321420669555664,4.349937438964844,4.173092842102051,5.814483642578125,4.21389102935791,4.2407732009887695,5.462972640991211,5.545468807220459,4.2614898681640625,3.8324780464172363
1976,3.9207451343536377,4.851316928863525,4.154191970825195,5.662361145019531,4.058559894561768,4.01804256439209,4.812496185302734,5.886679649353027,4.507512092590332,4.1522722244262695
1977,3.4727864265441895,3.395601987838745,3.425853967666626,4.4921746253967285,3.883880853652954,3.827450752258301,4.353714466094971,4.946717262268066,3.598065137863159,3.0781893730163574
1978,3.849905490875244,4.754047870635986,4.481988430023193,5.468486785888672,4.606715202331543,4.443148612976074,5.3820390701293945,5.489670753479004,4.4106621742248535,4.817512512207031
1979,4.0877275466918945,4.457184791564941,4.127285480499268,5.047670364379883,4.994961738586426,4.471755504608154,5.183638095855713,5.630300998687744,4.053888320922852,4.574444770812988
1980,4.186857223510742,5.325767993927002,4.7879958152771,5.293992519378662,4.946256637573242,4.70658540725708,4.413768768310547,5.812601089477539,4.0572190284729,4.0719170570373535
1981,4.433778762817383,4.472117900848389,4.807749271392822,4.882060527801514,5.395721912384033,5.155537128448486,4.2728471755981445,5.647281169891357,3.7231931686401367,4.399338245391846
1982,3.6568591594696045,3.5804920196533203,3.2998788356781006,4.564977645874023,4.538327693939209,4.554701805114746,3.271777391433716,4.71580171585083,3.483596086502075,3.5648036003112793
1983,4.245697975158691,4.085893630981445,4.4320759773254395,6.210289001464844,5.162408351898193,4.48861837387085,4.488719463348389,5.677000999450684,4.310248374938965,3.9747257232666016
1984,4.00927209854126,3.5826058387756348,3.977851152420044,4.787752628326416,4.772364616394043,4.560330867767334,4.410575866699219,5.153210639953613,3.4542288780212402,3.91599702835083
1985,4.413703441619873,5.983676910400391,4.883789539337158,6.73914098739624,5.327792167663574,5.6970953941345215,5.766723155975342,5.514585971832275,6.193283557891846,5.650591850280762
1986,4.727267265319824,4.496820449829102,3.8477721214294434,5.110641002655029,4.976250171661377,4.882412910461426,5.154367446899414,5.537539005279541,5.800205230712891,3.999406337738037
1987,3.634115695953369,4.5206193923950195,2.9993653297424316,4.414121150970459,4.481781482696533,5.200076103210449,4.522191524505615,4.849311828613281,4.407627105712891,3.7699244022369385
1988,3.7403616905212402,4.823080539703369,3.9010963439941406,4.433256149291992,4.975006580352783,5.020174026489258,4.786026954650879,5.0560431480407715,4.671182632446289,3.878521203994751
1989,3.832058906555176,4.3069281578063965,3.9998536109924316,4.6290812492370605,5.005104064941406,4.650296211242676,4.986865520477295,5.163205623626709,4.492914199829102,3.265943765640259
